How many employees directly report to you?,What is your hierarchical level within your organization?,What is your job function?,How many years have you held your current position?,What is your gender?,How old are you?,What is the size of your organisation?,What type of environment do you reside in?,What is your current place of residence?,Did you suffer from a burnout in the last 6 months?,What is the primary industry sector your organization is working in?,How stressed do you feel?,What was your perceived workload in the last month (none - too high)?,"During the last month I felt anxious (1 not at all, 7 extreme)?","During the last month I felt unmotivated (1 not at all, 7 extreme)?","During the last month I felt stressed (1 not at all, 7 extreme)?",What was the perceived number of stressfull events in the last month (none - too high)?,What was your perceived level of control over your life during the last month (none - full)?,The amount of physical activity was?,The quality of my sleep was?,My job satisfaction was?,My job productivity was?,I feel aligned with my team leader?,"I feel engaged at my daily work (1 not at all, 7 extreme)?","I feel appreciated at my workplace (1 not at all, 7 extreme)?","I feel aligned with my other team members (1 not at all, 7 extreme)?","I have a healthy work-life balance  (1 not at all, 7 extreme)?","How close to you feel you are to a burnout? (1 not at all, 7 extreme)?","My abilities fit my job requirement well (1 not at all, 7 extreme)?","How many lottery tickets, tombolas, or games of chance with very low probabilities of winning have you purchased in the past year?","How many times have you gambled for money in the past year (casino, sports-bets, online gambling etc.)?","How many high-risk investments (e.g., cryptocurrency, penny stocks) have you made in the past year?","Do you engage in extreme sports or activities with a known risk of physical injury (rock climbing, skydiving, motorbike racing etc.)?",How many times did you quit a stable job to pursue a career or business opportunity with uncertain outcomes?,How many speculative or unproven business ideas have you invested in within the past five years?,How many times have you traveled to an unfamiliar destination without making detailed plans or reservations?,How many new products or services have you purchased without reading reviews or consulting others?,"How many spontaneous decisions (e.g., last-minute travel, major purchases) have you made in the past 5 years?",How many times have you attended events or activities without knowing anyone there beforehand?,How many times have you changed your career path or job direction in the past 5 years?,"How many insurance policies (e.g., health, life, travel, product warranties) to protect against the possibility of loss have you purchased in the past 5 years?",How many refund policies or money-back guarantees have you utilized in the past 5 years?,"Which one do you prefer: secure, low-return financial products or a riskier, high-return alternative?",How many times have you rejected a job or project opportunity with significant benefits because it involved significant financial or status risk?,"How many high-risk, high-reward investments have you made in the past 5 years?",How many fitness or personal improvement challenges have you taken on in the past 5 years to achieve measurable goals?,How many times have you pursued bonuses or promotions in your job in the past 5 years?,How many times have you avoided giving advice to not be accountable for the outcome in the past 5 years?,"In team-, group of friends- or family-decisions how often are you the one who makes the final call? (in percentages)","How often have you voiced a controversial opinion in a public setting, knowing it might result in social backlash in the past year?","How often have you set a goal for yourself that statistically only a small percentage of people achieve (e.g., climbing Everest, writing a bestseller) in the past 5 years?","Have you ever avoided volunteering for roles (e.g., on a board, committee, or leadership position) where you would be responsible for making impactful decisions for a group?",How satisfied are you with your current job?,To what extent do you feel your work is meaningful?,How supported do you feel by your team leader?,How well does your current role align with your personal values?,Have you considered changing jobs in the past 6 months?,Do you feel appreciated at your organization?,Would you recommend your workplace to others?,How would you rate your job performance over the past year? (Self-assessed),Did you receive any formal recognition or bonus in the past 12 months?,How was your job productivity over the last month?,To what extent did you meet your KPIs in the last year?,How much was the rating of your job productivity for the last year?
0,Senior staff,Information Technology,5-10,Female,36-45,>1000,Suburban / agglomeration,United States,Yes,Energy,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Executive management,Operations,3-5,Male,26-35,10-49,Urban,Switzerland,No,Other,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Healthcare Services,0-1,Male,26-35,No answer,No answer,No answer,No answer,Health Care,No answer,,,,,,,,,,,,5,No answer,No answer,No answer,6,No answer,0,0,0,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"riskier, high-return products",No answer,1-3,No answer,No answer,No answer,No answer,No answer,0,No,No answer,Extremely,No answer,Very,No answer,No answer,No answer,Meets expectations,No answer,No answer,No answer,
1-5,Middle management,Consulting,3-5,Male,18-25,50-249,Urban,Mexico,Yes,Construction,Low,,,,,,,,,,,,5,6,5,6,3,7,1-3,3-5,3-5,Yes,1-3,0,1-3,1-3,3-5,1-3,0,0,1-3,"secure, low-return financial products",1-3,1-3,1-3,1-3,1-3,30%,1-3,1-3,Yes,Satisfied,Extremely,Extremely,Very,"Yes, occasionally",Extremely,Probably yes,Exceeds expectations,Yes,High,Extremely,
10-20,Senior staff,Entrepreneurship,5-10,Male,46-55,10-49,Rural,United States,No,Multiple,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Entry level staff,Accounting,1-3,Male,26-35,>1000,Urban,No answer,No,Finance,Medium,,,,,,,,,,,,3,4,2,4,2,6,0,1-3,1-3,No,0,0,1-3,3-5,1-3,0,0,1-3,0,"secure, low-return financial products",0,1-3,1-3,0,1-3,30%,1-3,1-3,No,Dissatisfied,Not at all,Not at all,Slightly,"Yes, occasionally",Somewhat,Not sure,Meets expectations,No,High,Very,
0,Entry level staff,Consulting,1-3,Male,18-25,50-249,Urban,Hungary,Yes,IT,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Support,5-10,Male,26-35,50-249,Urban,Romania,Yes,IT / Software / Tech,Medium,,,,,,,,,,,,2,2,2,4,5,5,0,0,>20,No,0,0,>20,>20,>20,5-10,0,5-10,5-10,"riskier, high-return products",0,>20,10-20,10-20,3-5,80%,>20,0,Yes,Very dissatisfied,Not at all,Slightly,Not at all,"Yes, frequently",Not at all,Probably not,Exceeds expectations,No,Average,Somewhat,
1-5,Senior staff,Real Estate,3-5,Female,46-55,1-9,Urban,United States,Yes,Construction,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20,Middle management,Logistics / Supply Chain,5-10,Female,26-35,>1000,Rural,South Africa,Yes,Transportation,High,,,,,,,,,,,,7,2,4,1,5,7,>20,10-20,5-10,Yes,0,3-5,5-10,10-20,>20,10-20,0,1-3,0,"riskier, high-return products",1-3,1-3,3-5,5-10,1-3,80%,3-5,1-3,No,Satisfied,Very,Somewhat,Slightly,"Yes, frequently",Not at all,Definitely not,Far exceeds expectations,No,High,Very,
0,Entry level staff,Customer Service / Client Relations,0-1,Male,18-25,250-1000,Urban,United States,No,Hospitality,Medium,,,,,,,,,,,,4,1,1,7,1,7,0,10-20,0,No,0,0,1-3,5-10,3-5,1-3,0,1-3,0,"riskier, high-return products",0,0,3-5,0,5-10,50%,3-5,5-10,Yes,Satisfied,Not at all,Very,Somewhat,"Yes, frequently",Somewhat,Definitely yes,Below expectations,No,,No answer,No answer
0,Entry level staff,Community and Social Services,0-1,Female,26-35,10-49,Urban,Switzerland,No,Other,Medium,Average,3,3,4,Average,Average,Low (once a week),Average,Average,High,High,2,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Middle management,Community and Social Services,5-10,Male,36-45,>1000,Suburban / agglomeration,United States,Yes,Health Care,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Military and Protective Services,1-3,Male,18-25,>1000,Suburban / agglomeration,Switzerland,No,Government,Medium,Average,1,1,3,None,Full,High (4-6 days a week),High,High,Very High,No answer,7,7,7,4,1,7,5-10,3-5,1-3,Yes,0,0,0,10-20,1-3,3-5,0,0,1-3,"riskier, high-return products",0,1-3,1-3,1-3,0,20%,3-5,1-3,No,,,,,,,,,,,,
1-5,Senior staff,Education,>10,Male,46-55,10-49,Rural,Egypt,No,Education,Low,,,,,,,,,,,,7,6,6,6,4,5,1-3,1-3,3-5,Yes,0,1-3,0,0,0,1-3,0,0,0,"secure, low-return financial products",1-3,0,1-3,1-3,1-3,40%,5-10,3-5,No,Satisfied,Very,Very,Very,No,Very,Probably yes,Exceeds expectations,Yes,High,Very,
1-5,Senior staff,Information Technology,5-10,Male,26-35,250-1000,Suburban / agglomeration,Egypt,No,IT / Software / Tech,Medium,,,,,,,,,,,,4,5,5,4,4,6,0,0,1-3,Yes,1-3,0,3-5,1-3,5-10,3-5,0,0,0,"riskier, high-return products",1-3,3-5,3-5,1-3,0,20%,1-3,0,Yes,Satisfied,Somewhat,Somewhat,Somewhat,"Yes, occasionally",Somewhat,Probably yes,Meets expectations,Yes,Average,Somewhat,
1-5,Senior staff,Sales,1-3,Male,46-55,1-9,Suburban / agglomeration,United States,No,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Legal,3-5,Male,36-45,>1000,Urban,Netherlands,No,Other,Low,,,,,,,,,,,,6,6,6,6,3,6,0,0,1-3,No,0,0,0,1-3,1-3,1-3,1-3,0,0,"riskier, high-return products",0,1-3,1-3,1-3,1-3,50%,1-3,1-3,No,Satisfied,Very,Very,Very,No,Very,Definitely yes,Meets expectations,No,Average,Very,
1-5,First-level management,Information Technology,3-5,Male,36-45,50-249,Suburban / agglomeration,United Kingdom,No,IT / Software / Tech,Low,,,,,,,,,,,,7,7,7,7,No answer,7,>20,>20,1-3,No,0,0,0,0,3-5,5-10,0,0,0,"riskier, high-return products",1-3,1-3,5-10,3-5,0,80%,1-3,0,Yes,Very satisfied,Extremely,Very,Extremely,No,Extremely,Definitely yes,Exceeds expectations,Yes,Very High,Very,
1-5,Senior staff,Education,3-5,Female,36-45,50-249,Urban,United Kingdom,No,Education,Medium,,,,,,,,,,,,5,5,4,6,2,6,3-5,3-5,0,No,0,0,0,5-10,0,1-3,0,0,0,"riskier, high-return products",0,0,0,1-3,0,30%,3-5,0,No,Neutral,Somewhat,Very,Very,"Yes, occasionally",Somewhat,Probably yes,Far exceeds expectations,No,Average,Somewhat,
10-20,Executive management,Information Technology,1-3,Female,36-45,>1000,Suburban / agglomeration,United States,Yes,Education,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Executive management,Education,1-3,Male,26-35,10-49,Urban,United Kingdom,Yes,Education,Medium,,,,,,,,,,,,2,3,4,4,2,4,0,0,0,No,1-3,0,3-5,0,1-3,3-5,1-3,3-5,0,"secure, low-return financial products",1-3,0,0,1-3,0,50%,0,0,Yes,Dissatisfied,Somewhat,Slightly,Slightly,"Yes, frequently",Somewhat,Probably not,Exceeds expectations,Yes,,Extremely,Very High
0,Mittleres Management,Personalwesen,0-1,Weiblich,46-55,1-9,Ländlich,Schweiz,Nein,Andere,Niedrig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Senior staff,Consulting,5-10,Female,46-55,>1000,Suburban / agglomeration,United States,Yes,IT,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Sales,1-3,Female,46-55,>1000,Urban,United States,No,Entertainment,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20,Executive management,Administrative,1-3,Female,46-55,>1000,Suburban / agglomeration,United States,Yes,Health Care,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Information Technology,3-5,Male,36-45,>1000,Suburban / agglomeration,No answer,No,Government,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-20,Entry level staff,Healthcare Services,1-3,Male,18-25,>1000,Suburban / agglomeration,Egypt,No,Health Care,Medium,,,,,,,,,,,,5,5,5,5,5,5,1-3,No answer,0,Yes,1-3,0,1-3,3-5,3-5,3-5,0,1-3,1-3,"secure, low-return financial products",3-5,5-10,3-5,0,1-3,60%,1-3,1-3,Yes,Satisfied,Somewhat,Somewhat,Slightly,"Yes, occasionally",Very,Probably yes,Meets expectations,No,High,No answer,
1-5,Middle management,Accounting,1-3,Male,36-45,>1000,Urban,Hungary,No,Agriculture,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Executive management,Customer Service / Client Relations,3-5,Female,26-35,50-249,Suburban / agglomeration,Egypt,Yes,Other,Medium,,,,,,,,,,,,7,7,7,4,5,7,1-3,1-3,0,No,1-3,5-10,1-3,5-10,3-5,1-3,1-3,1-3,1-3,"secure, low-return financial products",1-3,1-3,3-5,5-10,1-3,50%,1-3,1-3,No,Very satisfied,Extremely,Very,Extremely,No,Extremely,Definitely yes,Far exceeds expectations,Yes,High,Very,
0,Self employed / contractor,Logistics / Supply Chain,3-5,Male,36-45,10-49,Urban,Mexico,No,Other,Low,,,,,,,,,,,,5,4,4,7,1,5,1-3,1-3,1-3,No,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,"secure, low-return financial products",0,1-3,1-3,No answer,No answer,No answer,0,0,No,Satisfied,Somewhat,Somewhat,Somewhat,"Yes, occasionally",Somewhat,Not sure,Meets expectations,Yes,High,No answer,
0,Senior staff,Finance,3-5,Male,36-45,250-1000,Urban,Switzerland,No,Finance,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Administrative,1-3,Female,26-35,50-249,Suburban / agglomeration,United States,Yes,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Education,>10,Male,26-35,250-1000,Urban,Egypt,No,Education,Medium,,,,,,,,,,,,6,6,5,6,2,7,0,0,0,No,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,"secure, low-return financial products",1-3,0,1-3,1-3,1-3,60%,1-3,1-3,No,Satisfied,Very,Very,Very,"Yes, occasionally",Very,Definitely yes,Exceeds expectations,Yes,High,Very,
0,Entry level staff,Engineering,1-3,Female,18-25,250-1000,Urban,Austria,Yes,IT / Software / Tech,High,,,,,,,,,,,,5,5,6,3,6,5,0,0,0,No,0,0,0,0,1-3,3-5,1-3,0,1-3,"secure, low-return financial products",0,0,1-3,0,1-3,80%,1-3,1-3,No,Neutral,Somewhat,Somewhat,Somewhat,"Yes, frequently",Somewhat,Probably yes,Meets expectations,No,,Somewhat,Average
0,Self employed / contractor,Operations,5-10,Male,36-45,1-9,Suburban / agglomeration,New Zealand,No,Marketing,Low,,,,,,,,,,,,5,4,5,7,1,6,5-10,10-20,1-3,Yes,1-3,0,1-3,1-3,1-3,3-5,0,5-10,1-3,"riskier, high-return products",0,1-3,1-3,0,0,40%,1-3,1-3,Yes,Neutral,Slightly,No answer,Very,"Yes, occasionally",Somewhat,Not sure,Meets expectations,No answer,Average,Slightly,
1-5,First-level management,Business Development,1-3,Male,26-35,250-1000,Suburban / agglomeration,Egypt,No,Other,Low,,,,,,,,,,,,6,5,6,3,3,7,0,0,1-3,Yes,0,1-3,0,3-5,1-3,1-3,1-3,0,0,"riskier, high-return products",0,1-3,1-3,1-3,1-3,70%,0,0,Yes,Neutral,Very,Slightly,Very,"Yes, occasionally",Somewhat,Probably yes,Exceeds expectations,Yes,Very High,Extremely,
1-5,First-level management,Consulting,1-3,Male,18-25,10-49,Urban,Egypt,Yes,Health Care,High,,,,,,,,,,,,6,5,6,5,5,6,5-10,3-5,1-3,No,1-3,1-3,0,1-3,5-10,3-5,1-3,5-10,0,"secure, low-return financial products",0,1-3,1-3,1-3,1-3,80%,1-3,1-3,Yes,Neutral,Extremely,Very,Very,"Yes, occasionally",Somewhat,Definitely not,Meets expectations,No,,Slightly,Average
0,Intermediate level staff,Operations,0-1,Female,36-45,1-9,Urban,Switzerland,No,IT / Software / Tech,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,First-level management,Healthcare Services,3-5,Female,26-35,250-1000,Urban,Hungary,Yes,Health Care,Medium,,,,,,,,,,,,4,3,4,4,5,5,0,0,1-3,No,1-3,0,5-10,5-10,>20,10-20,1-3,1-3,0,"riskier, high-return products",1-3,1-3,1-3,1-3,3-5,60%,1-3,1-3,Yes,Satisfied,Very,Very,Very,"Yes, occasionally",Very,Probably not,Exceeds expectations,Yes,Average,Somewhat,
0,Intermediate level staff,Support / Training and Development,1-3,Male,26-35,50-249,Urban,United Kingdom,Yes,Education,Medium,,,,,,,,,,,,5,6,5,4,5,6,1-3,1-3,0,No,0,0,0,1-3,1-3,3-5,1-3,0,1-3,"secure, low-return financial products",0,0,1-3,1-3,1-3,60%,1-3,1-3,Yes,Neutral,Slightly,Slightly,Slightly,"Yes, occasionally",Somewhat,Probably not,Meets expectations,Yes,Average,Somewhat,
0,Senior staff,Engineering,3-5,Male,26-35,>1000,Urban,United Kingdom,No,IT / Software / Tech,Medium,,,,,,,,,,,,5,7,5,6,3,6,1-3,>20,10-20,No,1-3,3-5,3-5,1-3,>20,1-3,0,3-5,3-5,"riskier, high-return products",0,3-5,0,3-5,1-3,80%,3-5,1-3,No,Satisfied,Very,Very,Very,"Yes, occasionally",Somewhat,Not sure,Meets expectations,Yes,Average,Very,
1-5,Executive management,Marketing,>10,Male,36-45,10-49,Suburban / agglomeration,United States,Yes,Marketing,High,,,,,,,,,,,,6,6,5,5,5,6,0,1-3,0,No,0,1-3,0,1-3,1-3,3-5,0,0,1-3,"secure, low-return financial products",1-3,1-3,1-3,3-5,1-3,30%,1-3,1-3,No,Satisfied,Very,Somewhat,Somewhat,No,Somewhat,Probably not,Far exceeds expectations,Yes,,Very,Very High
5-10,Senior staff,Arts and Design,5-10,Male,26-35,>1000,Rural,Egypt,No,IT / Software / Tech,Low,,,,,,,,,,,,5,4,5,5,4,4,5-10,3-5,3-5,Yes,3-5,3-5,5-10,3-5,3-5,3-5,5-10,5-10,5-10,"secure, low-return financial products",5-10,3-5,3-5,3-5,10-20,60%,5-10,5-10,Yes,Satisfied,Slightly,Extremely,Very,"Yes, occasionally",Very,Probably yes,Exceeds expectations,Yes,High,Very,
1-5,Middle management,Finance,3-5,Male,46-55,>1000,Urban,Switzerland,No,Health Care,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Executive management,Finance,1-3,Male,26-35,1-9,Urban,Luxembourg,No,Finance,Medium,,,,,,,,,,,,6,4,3,5,1,5,0,0,5-10,No,1-3,5-10,10-20,>20,>20,>20,1-3,1-3,0,"riskier, high-return products",0,>20,3-5,5-10,>20,60%,>20,>20,Yes,Satisfied,Somewhat,Slightly,Somewhat,"Yes, frequently",Very,Probably yes,Exceeds expectations,Yes,,Very,High
0,Self employed / contractor,Real Estate,5-10,Male,26-35,>1000,Suburban / agglomeration,Canada,No,Other,Medium,,,,,,,,,,,,4,5,5,5,1,4,>20,>20,>20,No,0,10-20,0,0,10-20,>20,0,3-5,10-20,"riskier, high-return products",0,>20,0,0,0,50%,>20,1-3,Yes,Satisfied,Somewhat,Very,Very,"Yes, occasionally",Very,Probably yes,Meets expectations,No,Average,Somewhat,
0,No answer,No answer,0-1,Male,36-45,No answer,Suburban / agglomeration,United Kingdom,No,Other,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Sales,>10,Male,>65,250-1000,Suburban / agglomeration,United States,No,Finance,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,First-level management,Consulting,5-10,Female,26-35,>1000,Urban,United States,No,IT,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Information Technology,1-3,Male,18-25,>1000,Urban,India,No,IT / Software / Tech,Medium,,,,,,,,,,,,5,5,6,4,5,5,1-3,1-3,3-5,Yes,1-3,0,1-3,1-3,3-5,1-3,0,1-3,5-10,"riskier, high-return products",1-3,1-3,1-3,1-3,1-3,50%,1-3,1-3,Yes,Neutral,Slightly,Slightly,Somewhat,"Yes, occasionally",Somewhat,Probably yes,Meets expectations,Yes,Average,No answer,
1-5,Intermediate level staff,Consulting,3-5,Female,26-35,10-49,Urban,Netherlands,No,Other,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Einstiegsebene,Beratung,0-1,Weiblich,18-25,10-49,Städtisch,Deutschland,Nein,Gesundheitswesen,Niedrig,,,,,,,,,,,,4,5,6,7,2,6,1-3,0,0,Nein,0,0,1-3,1-3,1-3,0,0,1-3,1-3,"riskantere, aber ertragsstärkere Produkte",0,0,0,0,1-3,20%,0,0,Nein,Zufrieden,Extrem,Sehr,Sehr,Nein,Sehr,Wahrscheinlich ja,Entspricht den Erwartungen,Nein,Durchschnittlich,Etwas,
0,Executive management,Consulting,5-10,Male,26-35,10-49,Urban,Netherlands,No,Other,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Administrative,1-3,Female,46-55,50-249,Urban,United States,No,Other,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,No answer,No answer,>10,Female,36-45,>1000,Suburban / agglomeration,Switzerland,No,Pharma,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Middle management,Human Resources,1-3,Female,46-55,>1000,Urban,United States,Yes,Finance,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Middle management,Business Development,>10,Male,46-55,>1000,Urban,Switzerland,No,IT / Software / Tech,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Self employed / contractor,Purchasing,1-3,Male,36-45,50-249,Suburban / agglomeration,United States,No,Other,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Research,3-5,Female,46-55,10-49,Urban,United States,Yes,Food & Beverage,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,First-level management,Education,5-10,Female,46-55,>1000,Rural,United States,Yes,Education,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Marketing,1-3,Female,36-45,>1000,Suburban / agglomeration,United States,Yes,IT,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Selbstständig / Freiberufler,Keine Antwort,>10,Männlich,>65,1-9,Ländlich,Schweiz,Nein,Keine Antwort,Niedrig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,First-level management,Sales,0-1,Female,26-35,>1000,Urban,United Arab Emirates,Yes,Other,Low,,,,,,,,,,,,7,6,6,6,4,7,1-3,1-3,0,No,1-3,1-3,3-5,10-20,10-20,>20,1-3,1-3,3-5,"riskier, high-return products",1-3,1-3,3-5,5-10,10-20,50%,5-10,0,Yes,Very satisfied,Extremely,Extremely,Extremely,No,Extremely,Probably yes,Meets expectations,Yes,Average,Somewhat,
0,Intermediate level staff,Accounting,1-3,Female,>65,1-9,Suburban / agglomeration,United States,No,Other,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,No answer,Arts and Design,5-10,Female,46-55,1-9,Suburban / agglomeration,United States,No,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-20,Entry level staff,Information Technology,3-5,Male,18-25,>1000,Urban,Kenya,Yes,IT / Software / Tech,High,,,,,,,,,,,,7,7,7,7,7,7,5-10,>20,10-20,Yes,1-3,5-10,>20,>20,>20,5-10,1-3,1-3,1-3,"riskier, high-return products",1-3,>20,>20,5-10,5-10,60%,3-5,5-10,Yes,Very satisfied,Extremely,Extremely,Extremely,"Yes, occasionally",Extremely,Definitely yes,Far exceeds expectations,Yes,Very High,Extremely,
No answer,No answer,No answer,No answer,Female,18-25,No answer,Rural,France,No,No answer,Low,Very low,3,4,4,High,Very low,Average (2-3 days a week),High,No answer,No answer,No answer,No answer,No answer,No answer,No answer,1,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Operations,1-3,Male,36-45,50-249,Suburban / agglomeration,Spain,No,Government / Public Administration,Low,,,,,,,,,,,,6,6,6,7,2,6,0,0,1-3,Yes,1-3,1-3,1-3,0,1-3,1-3,0,1-3,0,"secure, low-return financial products",0,1-3,3-5,1-3,1-3,20%,0,1-3,Yes,Very satisfied,Very,Very,Very,"Yes, occasionally",Somewhat,Probably yes,Exceeds expectations,Yes,High,Very,
1-5,Middle management,Finance,>10,Female,No answer,>1000,Suburban / agglomeration,United States,Yes,Energy,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Middle management,Consulting,1-3,Female,36-45,50-249,Urban,United Kingdom,No,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Executive management,Finance,1-3,Female,46-55,250-1000,Urban,China,No,Agriculture,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,No answer,>10,Female,46-55,10-49,Suburban / agglomeration,Germany,Yes,Other,Medium,,,,,,,,,,,,4,4,5,5,4,2,0,0,3-5,No,1-3,1-3,1-3,5-10,5-10,1-3,1-3,1-3,10-20,"secure, low-return financial products",5-10,3-5,3-5,1-3,0,50%,0,0,No,Dissatisfied,Somewhat,Somewhat,Slightly,"Yes, frequently",Slightly,Not sure,Meets expectations,No,High,Very,
0,Entry level staff,Community and Social Services,0-1,Female,26-35,10-49,Urban,Switzerland,No,Other,Medium,Average,3,3,4,Average,Average,Low (once a week),Average,Average,High,High,2,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Business Development,5-10,Male,46-55,250-1000,Urban,South Korea,No,IT / Software / Tech,Medium,,,,,,,,,,,,6,6,7,7,3,6,0,0,0,No,1-3,0,0,0,1-3,0,0,1-3,0,"secure, low-return financial products",0,0,1-3,1-3,0,30%,0,0,No,Satisfied,Very,Very,Somewhat,"Yes, occasionally",Very,Definitely yes,Far exceeds expectations,No,Very High,Extremely,
10-20,Senior staff,Administrative,1-3,Male,36-45,10-49,Suburban / agglomeration,United States,No,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Geschäftsführung,Medien und Kommunikation,1-3,Männlich,18-25,>1000,Städtisch,Deutschland,Nein,IT / Software / Technologie,Mittel,,,,,,,,,,,,4,5,6,5,4,3,0,1-3,10-20,Ja,0,1-3,5-10,10-20,3-5,1-3,1-3,3-5,1-3,"sichere, niedrig verzinste Finanzprodukte",1-3,1-3,10-20,0,1-3,70%,5-10,1-3,Nein,Zufrieden,Ein wenig,Etwas,Etwas,"Ja, gelegentlich",Etwas,Wahrscheinlich ja,Übertrifft die Erwartungen,Nein,,Sehr,Hoch
5-10,Self employed / contractor,Information Technology,>10,Male,46-55,10-49,Rural,Canada,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20,Senior staff,Community and Social Services,>10,Male,56-65,50-249,Suburban / agglomeration,United States,No,Health Care,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
